Name,Type,HP,Attack,Defense,Speed
Pikachu,Electric,35,55,40,90
Charizard,Fire,78,84,78,100
Blastoise,Water,79,83,100,78
Venusaur,Grass,80,82,83,80
Gengar,Ghost,60,65,60,110
Dragonite,Dragon,91,134,95,80
Mewtwo,Psychic,106,110,90,130
Snorlax,Normal,160,110,65,30
Gyarados,Water,95,125,79,81
Alakazam,Psychic,55,50,45,120
Machamp,Fighting,90,130,80,55
Golem,Rock,80,120,130,45
Lapras,Water,130,85,80,60
Arcanine,Fire,90,110,80,95
Jolteon,Electric,65,65,60,130
Vaporeon,Water,130,65,60,65
Flareon,Fire,65,130,60,65
Eevee,Normal,55,55,50,55
Mew,Psychic,100,100,100,100
Articuno,Ice,90,85,100,85